"Year","Avg_Global_SL_Anomaly","Avg_Global_Temp_Anomaly"
"1900",-173.261442091774,-0.0833333333333333
"1901",-168.801675260069,-0.135833333333333
"1902",-180.389966950043,-0.2375
"1903",-170.267832246364,-0.319166666666667
"1904",-168.720070891968,-0.434166666666667
"1905",-160.981428722675,-0.246666666666667
"1906",-175.605266335879,-0.21
"1907",-169.269222500189,-0.336666666666667
"1908",-184.1125088215,-0.400833333333333
"1909",-178.725951371542,-0.434166666666667
"1910",-177.12147330986,-0.3975
"1911",-161.718567617054,-0.414166666666667
"1912",-154.065540751537,-0.333333333333333
"1913",-146.447900040648,-0.326666666666667
"1914",-144.456942950489,-0.144166666666667
"1915",-140.947332505697,-0.1
"1916",-167.257957191162,-0.311666666666667
"1917",-157.399146907858,-0.434166666666667
"1918",-153.364538581145,-0.285833333333333
"1919",-146.923537327046,-0.240833333333333
"1920",-138.296323517219,-0.251666666666667
"1921",-138.624636636928,-0.174166666666667
"1922",-140.169819216061,-0.248333333333333
"1923",-154.973060611061,-0.2425
"1924",-149.715508320625,-0.2225
"1925",-154.365164995044,-0.198333333333333
"1926",-155.032203457062,-0.0875
"1927",-148.160054025337,-0.179166666666667
"1928",-150.637486958889,-0.166666666666667
"1929",-151.329395558737,-0.306666666666667
"1930",-146.430963048914,-0.110833333333333
"1931",-146.11008564429,-0.06
"1932",-131.79295351529,-0.123333333333333
"1933",-137.930124577712,-0.2525
"1934",-151.130100898396,-0.104166666666667
"1935",-138.775624941667,-0.153333333333333
"1936",-144.595059568191,-0.116666666666667
"1937",-135.365486827454,0.0116666666666667
"1938",-125.868059106005,0.0166666666666667
"1939",-121.688805799496,0.0108333333333333
"1940",-132.358422279247,0.156666666666667
"1941",-117.014493859124,0.221666666666667
"1942",-116.86162691446,0.0891666666666667
"1943",-110.338215874497,0.0991666666666667
"1944",-118.872080593047,0.235
"1945",-119.171992669776,0.14
"1946",-104.470507669165,-0.0391666666666667
"1947",-112.54190691461,-0.0075
"1948",-104.607473699381,-0.065
"1949",-92.3207506943622,-0.0591666666666667
"1950",-96.1867296224884,-0.125833333333333
"1951",-85.616138764807,-0.0075
"1952",-85.5780907296087,0.0516666666666667
"1953",-79.7711494657342,0.1275
"1954",-89.9380897221628,-0.07
"1955",-86.6263691043205,-0.129166666666667
"1956",-100.040236124107,-0.17
"1957",-83.943075014655,0.0591666666666667
"1958",-85.7277853347008,0.0841666666666667
"1959",-82.7312661785781,0.0691666666666667
"1960",-76.8683229338112,0.0258333333333333
"1961",-77.2147369576539,0.0641666666666667
"1962",-79.1118795909966,0.0525
"1963",-78.6913414505047,0.0816666666666667
"1964",-82.7520186874503,-0.1525
"1965",-76.6554273207086,-0.0625
"1966",-82.7498734488119,-0.0225
"1967",-82.9669471205068,0.0141666666666667
"1968",-84.9956834961968,-0.06
"1969",-84.6799666056652,0.0908333333333333
"1970",-84.9043726436803,0.0541666666666667
"1971",-72.7613965752163,-0.0516666666666667
"1972",-78.4880142330549,0.025
"1973",-83.2453676890826,0.196666666666667
"1974",-76.7789044153547,-0.05
"1975",-68.1208105652144,0.0141666666666667
"1976",-78.0958287928324,-0.0333333333333333
"1977",-73.4610832110235,0.2075
"1978",-78.1371043046887,0.115
"1979",-68.2542075498973,0.2225
"1980",-70.5558023966038,0.29
"1981",-53.3749720730904,0.3525
"1982",-61.6258329673576,0.189166666666667
"1983",-58.2316447432601,0.345
"1984",-58.5520539561791,0.195833333333333
"1985",-64.1774129758791,0.166666666666667
"1986",-56.8762686389741,0.215
"1987",-59.4440105725934,0.336666666666667
"1988",-62.0667956876169,0.416666666666667
"1989",-54.9392179084318,0.295
"1990",-51.6767467423499,0.449166666666667
"1991",-59.2402429134789,0.42
"1992",-59.8817471980951,0.233333333333333
"1993",-53.3236503601074,0.269166666666667
"1994",-49.4444465637207,0.321666666666667
"1995",-45.4197731018066,0.48
"1996",-44.5584106445312,0.355833333333333
"1997",-40.6322402954102,0.500833333333333
"1998",-41.8815155029297,0.631666666666667
"1999",-37.8513298034668,0.418333333333333
"2000",-34.4081878662109,0.428333333333333
"2001",-29.1489410400391,0.554166666666667
"2002",-25.7655925750732,0.621666666666667
"2003",-22.9545021057129,0.6325
"2004",-20.4872760772705,0.548333333333333
"2005",-15.4718217849731,0.705
"2006",-14.0379962921143,0.663333333333333
"2007",-12.8978633880615,0.658333333333333
"2008",-10.1792430877685,0.549166666666667
"2009",-5.37440252304077,0.6625
"2010",-4.04171323776245,0.734166666666667
"2011",-4.30993461608887,0.628333333333333
"2012",5.97680854797363,0.660833333333333
"2013",8.81441688537598,0.685
"2014",12.3168821334839,0.7675
"2015",23.3422374725342,0.9175
"2016",25.7282314300537,1.0325
"2017",27.7585487365723,0.950833333333333
"2018",31.5833568572998,0.86
"2019",36.7436651206954,0.9775
"2020",37.1512929323282,1.01416666666667
"2021",40.307081363075,0.863333333333333
"2022",42.0768723841478,0.908333333333333
