"","Year","Avg_Anomaly_Temperature","Avg_Sea_Level_Rise","Latitude","Longitude"
"1","1947",-2.4,-0.128333333333333,"41° 2.9 N","71° 57.6 W"
"2","1948",-2.7,-0.099,"41° 2.9 N","71° 57.6 W"
"3","1949",0.2,-0.12725,"41° 2.9 N","71° 57.6 W"
"4","1950",-2.5,-0.155416666666667,"41° 2.9 N","71° 57.6 W"
"5","1951",-1,-0.0955833333333333,"41° 2.9 N","71° 57.6 W"
"6","1952",-0.5,-0.0870833333333333,"41° 2.9 N","71° 57.6 W"
"7","1953",0.3,-0.093,"41° 2.9 N","71° 57.6 W"
"8","1954",-1.3,-0.101083333333333,"41° 2.9 N","71° 57.6 W"
"9","1955",-1.3,-0.0779166666666667,"41° 2.9 N","71° 57.6 W"
"10","1956",-2.4,-0.0708333333333333,"41° 2.9 N","71° 57.6 W"
"11","1957",-0.8,-0.0946666666666667,"41° 2.9 N","71° 57.6 W"
"12","1958",-3.4,-0.0336666666666667,"41° 2.9 N","71° 57.6 W"
"13","1959",-1.1,-0.1082,"41° 2.9 N","71° 57.6 W"
"14","1960",-2.1,-0.0609166666666667,"41° 2.9 N","71° 57.6 W"
"15","1961",-1.7,-0.0554166666666667,"41° 2.9 N","71° 57.6 W"
"16","1962",-3.3,-0.0664166666666667,"41° 2.9 N","71° 57.6 W"
"17","1963",-2.6,-0.106166666666667,"41° 2.9 N","71° 57.6 W"
"18","1964",-1.8,-0.11575,"41° 2.9 N","71° 57.6 W"
"19","1965",-2.3,-0.104333333333333,"41° 2.9 N","71° 57.6 W"
"20","1966",-2,-0.09675,"41° 2.9 N","71° 57.6 W"
"21","1967",-2.8,-0.0639166666666667,"41° 2.9 N","71° 57.6 W"
"22","1968",-2.1,-0.0801666666666667,"41° 2.9 N","71° 57.6 W"
"23","1969",-2,-0.04975,"41° 2.9 N","71° 57.6 W"
"24","1970",-2.1,-0.0471666666666667,"41° 2.9 N","71° 57.6 W"
"25","1971",-1.6,-0.0343333333333333,"41° 2.9 N","71° 57.6 W"
"26","1972",-2.4,-0.0415,"41° 2.9 N","71° 57.6 W"
"27","1973",-0.1,-0.0158333333333333,"41° 2.9 N","71° 57.6 W"
"28","1974",-1.5,-0.04675,"41° 2.9 N","71° 57.6 W"
"29","1975",-0.6,-0.0438333333333333,"41° 2.9 N","71° 57.6 W"
"30","1976",-2.3,-0.0638333333333333,"41° 2.9 N","71° 57.6 W"
"31","1977",-1.5,-0.076875,"41° 2.9 N","71° 57.6 W"
"32","1978",-3,-0.0435,"41° 2.9 N","71° 57.6 W"
"33","1979",-1.5,-0.0757272727272727,"41° 2.9 N","71° 57.6 W"
"34","1980",-2,-0.0834166666666667,"41° 2.9 N","71° 57.6 W"
"35","1981",-1.9,-0.06575,"41° 2.9 N","71° 57.6 W"
